id,x,y,yaw
0,3.099093841249786,4.038519999948167,-1.189340905712679
1,3.228054372699848,3.826278582442065,-0.809271831178894
2,3.4177197722422736,3.6644755128734716,-0.5716298088619338
3,3.6355238164152457,3.5422803893788024,-0.4355398739826728
4,3.8665452974394574,3.4470325681790857,-0.33921497870283834
5,4.10457357657948,3.3707869869620373,-0.2748628297862405
6,4.346645310869576,3.3084574254489234,-0.22465604719140897
7,4.591228885892214,3.256782173770993,-0.18433330326262426
8,4.837478724209397,3.213710999147977,-0.15676234580614085
9,5.08482444773496,3.1774343058175574,-0.13170780024044762
10,5.332934580397354,3.146794609102451,-0.10813562370836453
11,5.5816131330467424,3.121158135339157,-0.09250670670788155
12,5.830678600546248,3.0995992502767953,-0.07860979065535408
13,6.080026956235525,3.0815961688351967,-0.06544661843512517
14,6.329581623968544,3.066712528609061,-0.05273511567324892
15,6.579285705452015,3.054578646180978,-0.041662969846959164
16,6.829097363754951,3.044898718749369,-0.032397236092684654
17,7.078984379003099,3.037407134271649,-0.02497894362572689
18,7.328921132622375,3.0318137085063688,-0.0184112007948356
19,7.578889854917889,3.0278948324721093,-0.012642725152993813
20,7.828877382275704,3.0254396625143545,-0.006734349355385513
21,8.078874267281625,3.0242431183962606,-0.0014549166328635733
22,8.328874049238,3.024213666504668,0.0023254210641715416
23,8.578871637379237,3.0252554187858824,0.006669422762860789
24,8.82886249347615,3.0273666083167012,0.011162875710436424
25,9.078842231184513,3.0305340464626687,0.014942382719049069
26,9.328807597766573,3.034683555050876,0.018877145350857657
27,9.578755988046327,3.0397562584673885,0.022543505054858706
28,9.828685740478324,3.045677399606527,0.02535199431892972
29,10.078597535658007,3.0523143134783632,0.02796674458494278
30,10.328493072935485,3.059538925946561,0.03009066924703304
31,10.578375805776208,3.067194645015306,0.031406128007171866
32,10.82825082776375,3.0750985497389807,0.0318525559628761
33,11.078124608471551,3.0830416773850517,0.03144136594921968
34,11.328004141758601,3.0908012760805814,0.03011147671638862
35,11.577896274066884,3.0981427991981176,0.02781524604929037
36,11.8278068298947,3.104825911058494,0.024543031694040707
37,12.077739694384702,3.1106121426958877,0.020325170987323886
38,12.327696009593893,3.1152727169690224,0.015231093844095262
